Date,o
2018-12-11,"{'h': 55.55101810156845, 'l': 28.0989326913187, 'v': 23.086494420460774}"
2018-12-12,"{'h': 55.59726669992467, 'l': 27.774967873506107, 'v': 23.26446810733158}"
2018-12-13,"{'h': 55.66013362626028, 'l': 27.443397010511212, 'v': 23.042418310851943}"
2018-12-14,"{'h': 55.740261968381105, 'l': 27.091576783002107, 'v': 22.24879002904819}"
2018-12-15,"{'h': 55.815512539763354, 'l': 26.737755651971703, 'v': 21.860632720129377}"
2018-12-16,"{'h': 55.86150785943382, 'l': 26.405356431861115, 'v': 22.051429915294438}"
2018-12-17,"{'h': 55.87714064986489, 'l': 26.10557065522864, 'v': 22.745707395900364}"
2018-12-18,"{'h': 55.86987562692592, 'l': 25.83974470557726, 'v': 23.729790610247235}"
2018-12-19,"{'h': 55.81571978737799, 'l': 25.62630299026887, 'v': 25.167699738004675}"
2018-12-20,"{'h': 55.727598727205134, 'l': 25.450735794304425, 'v': 26.217410970204345}"
2018-12-21,"{'h': 55.64773346296653, 'l': 25.280524291705493, 'v': 26.653489252412765}"
2018-12-22,"{'h': 55.58612301765573, 'l': 25.09002902869866, 'v': 25.851108060773903}"
2018-12-23,"{'h': 55.496039314173565, 'l': 24.928136412349154, 'v': 26.58862921582254}"
2018-12-24,"{'h': 55.37529176970665, 'l': 24.798900087489216, 'v': 27.52062993432166}"
2018-12-25,"{'h': 55.29149783835919, 'l': 24.615663581587473, 'v': 25.243164594040117}"
2018-12-26,"{'h': 55.20385226580529, 'l': 24.436380503097105, 'v': 25.22206011176704}"
2018-12-27,"{'h': 55.20306536642411, 'l': 24.21537241827649, 'v': 24.84260803235689}"
2018-12-28,"{'h': 55.23321589856849, 'l': 23.985240533844458, 'v': 24.597543238630518}"
2018-12-29,"{'h': 55.24643588251312, 'l': 23.783061012211867, 'v': 25.646125756095252}"
2018-12-30,"{'h': 55.2832109730045, 'l': 23.572931651788736, 'v': 25.18014857330677}"
2018-12-31,"{'h': 55.31680322644522, 'l': 23.36006896224208, 'v': 24.9492781020491}"
2019-01-01,"{'h': 55.352212013727055, 'l': 23.143901487229538, 'v': 24.67383683091732}"
2019-01-02,"{'h': 55.39197064522182, 'l': 22.94571562286796, 'v': 25.217977844412918}"
2019-01-03,"{'h': 55.428347649829334, 'l': 22.74683469299994, 'v': 25.110153937712894}"
2019-01-04,"{'h': 55.465873095255546, 'l': 22.544113733016257, 'v': 24.823525378365876}"
2019-01-05,"{'h': 55.48818204050616, 'l': 22.347964870912723, 'v': 25.08094411361559}"
2019-01-06,"{'h': 55.508212879458455, 'l': 22.15816078211283, 'v': 25.2507120642338}"
2019-01-07,"{'h': 55.51349350881901, 'l': 21.989129315731603, 'v': 26.155485869866972}"
2019-01-08,"{'h': 55.53828878852582, 'l': 21.82205260682257, 'v': 25.934385843404513}"
2019-01-09,"{'h': 55.573136984110434, 'l': 21.659162855957018, 'v': 25.718387846725182}"
2019-01-10,"{'h': 55.62683513124738, 'l': 21.46902825502371, 'v': 24.15680231105241}"
2019-01-11,"{'h': 55.689132687863115, 'l': 21.24985901140915, 'v': 22.972616061606132}"
2019-01-12,"{'h': 55.757166394946175, 'l': 21.03326000988391, 'v': 22.72233423358449}"
2019-01-13,"{'h': 55.82920144836187, 'l': 20.814876555829287, 'v': 22.391780729462308}"
2019-01-14,"{'h': 55.90153001498834, 'l': 20.595025659950768, 'v': 22.204299513853492}"
2019-01-15,"{'h': 55.97249078189304, 'l': 20.38952978603886, 'v': 22.383451262691796}"
2019-01-16,"{'h': 56.035384922017705, 'l': 20.163113785124914, 'v': 22.062676073429785}"
2019-01-17,"{'h': 56.09230288965788, 'l': 19.94538335132176, 'v': 22.330914279774596}"
2019-01-18,"{'h': 56.14389938736534, 'l': 19.727036860920162, 'v': 22.297795036605194}"
2019-01-19,"{'h': 56.18522485578856, 'l': 19.51248709275535, 'v': 22.483258229609064}"
2019-01-20,"{'h': 56.22866302039672, 'l': 19.29316741018123, 'v': 22.137879996519562}"
2019-01-21,"{'h': 56.27357536456837, 'l': 19.067054897086564, 'v': 21.72462211320396}"
2019-01-22,"{'h': 56.30900936009038, 'l': 18.84282083244937, 'v': 21.764245664232003}"
2019-01-23,"{'h': 56.33455859595749, 'l': 18.622985977585113, 'v': 21.878685477517465}"
