time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-06-22T00:00:00.0000000Z,2019-06-23T00:00:00.0000000Z,2019-06-22T00:00:00.0560000Z,2019-06-22T23:59:59.9040000Z,10159.86,11160.0,9921.72,10729.5,104165.385829,923287
2019-06-21T00:00:00.0000000Z,2019-06-22T00:00:00.0000000Z,2019-06-21T00:00:00.5260000Z,2019-06-21T23:59:59.9320000Z,9518.06,10174.99,9518.06,10159.86,50484.410417,474342
2019-06-20T00:00:00.0000000Z,2019-06-21T00:00:00.0000000Z,2019-06-20T00:00:00.7020000Z,2019-06-20T23:59:59.4690000Z,9253.76,9590.0,9175.2,9517.12,34556.053982,350662
2019-06-19T00:00:00.0000000Z,2019-06-20T00:00:00.0000000Z,2019-06-19T00:00:00.5870000Z,2019-06-19T23:59:59.9540000Z,9081.97,9304.0,8960.0,9255.49,32147.430729,306194
2019-06-18T00:00:00.0000000Z,2019-06-19T00:00:00.0000000Z,2019-06-18T00:00:00.0080000Z,2019-06-18T23:59:59.5060000Z,9312.13,9336.36,8950.0,9081.55,51537.980772,449643
2019-06-17T00:00:00.0000000Z,2019-06-18T00:00:00.0000000Z,2019-06-17T00:00:00.1340000Z,2019-06-17T23:59:59.9730000Z,8953.0,9444.0,8950.0,9313.96,47895.485374,462160
2019-06-16T00:00:00.0000000Z,2019-06-17T00:00:00.0000000Z,2019-06-16T00:00:00.0760000Z,2019-06-16T23:59:59.8380000Z,8810.77,9333.0,8760.0,8953.33,63286.81426,552275
2019-06-15T00:00:00.0000000Z,2019-06-16T00:00:00.0000000Z,2019-06-15T00:00:00.3220000Z,2019-06-15T23:59:58.8530000Z,8650.88,8864.99,8567.63,8808.7,31788.824483,335802
2019-06-14T00:00:00.0000000Z,2019-06-15T00:00:00.0000000Z,2019-06-14T00:00:00.0790000Z,2019-06-14T23:59:59.3860000Z,8216.44,8684.41,8144.32,8650.0,39835.246255,410072
2019-06-13T00:00:00.0000000Z,2019-06-14T00:00:00.0000000Z,2019-06-13T00:00:00.3110000Z,2019-06-13T23:59:59.5850000Z,8127.64,8309.82,8010.03,8218.54,30467.74892,341245
2019-06-12T00:00:00.0000000Z,2019-06-13T00:00:00.0000000Z,2019-06-12T00:00:00.0270000Z,2019-06-12T23:59:59.8980000Z,7884.9,8200.0,7788.99,8127.64,41590.062305,361921
2019-06-11T00:00:00.0000000Z,2019-06-12T00:00:00.0000000Z,2019-06-11T00:00:00.2230000Z,2019-06-11T23:59:59.9100000Z,7981.0,8010.0,7692.23,7884.9,30334.993107,309058
2019-06-10T00:00:00.0000000Z,2019-06-11T00:00:00.0000000Z,2019-06-10T00:00:02.1460000Z,2019-06-10T23:59:59.9970000Z,7627.57,8020.0,7511.0,7982.75,36756.078468,387179
2019-06-09T00:00:00.0000000Z,2019-06-10T00:00:00.0000000Z,2019-06-09T00:00:02.0470000Z,2019-06-09T23:59:59.5990000Z,7895.28,7935.0,7506.66,7628.13,31568.465157,322175
2019-06-08T00:00:00.0000000Z,2019-06-09T00:00:00.0000000Z,2019-06-08T00:00:00.3760000Z,2019-06-08T23:59:58.5930000Z,7978.94,8044.65,7751.0,7893.62,22657.329634,250864
2019-06-07T00:00:00.0000000Z,2019-06-08T00:00:00.0000000Z,2019-06-07T00:00:00.8460000Z,2019-06-07T23:59:59.5960000Z,7787.57,8100.0,7737.49,7980.53,33942.225658,323096
2019-06-06T00:00:00.0000000Z,2019-06-07T00:00:00.0000000Z,2019-06-06T00:00:00.7240000Z,2019-06-06T23:59:59.6680000Z,7778.08,7868.13,7444.58,7786.7,36612.689877,371346
2019-06-05T00:00:00.0000000Z,2019-06-06T00:00:00.0000000Z,2019-06-05T00:00:00.3640000Z,2019-06-05T23:59:59.7050000Z,7687.04,7896.7,7572.78,7776.5,48679.656455,426120
2019-06-04T00:00:00.0000000Z,2019-06-05T00:00:00.0000000Z,2019-06-04T00:00:00.0330000Z,2019-06-04T23:59:58.3870000Z,8115.66,8115.66,7481.02,7687.03,74143.948941,645913
2019-06-03T00:00:00.0000000Z,2019-06-04T00:00:00.0000000Z,2019-06-03T00:00:00.2930000Z,2019-06-03T23:59:59.9860000Z,8726.0,8800.95,8080.8,8115.82,58587.609605,535962
2019-06-02T00:00:00.0000000Z,2019-06-03T00:00:00.0000000Z,2019-06-02T00:00:00.2980000Z,2019-06-02T23:59:59.4500000Z,8545.1,8814.78,8524.0,8725.98,27835.133265,299353
2019-06-01T00:00:00.0000000Z,2019-06-02T00:00:00.0000000Z,2019-06-01T00:00:00.0970000Z,2019-06-01T23:59:58.1330000Z,8555.0,8626.0,8442.36,8544.07,31868.234157,348375
2019-05-31T00:00:00.0000000Z,2019-06-01T00:00:00.0000000Z,2019-05-31T00:00:00.0000000Z,2019-05-31T23:59:59.9350000Z,8267.1,8594.0,8108.5,8555.0,44727.49162,416525
2019-05-30T00:00:00.0000000Z,2019-05-31T00:00:00.0000000Z,2019-05-30T00:00:00.0580000Z,2019-05-30T23:59:59.7880000Z,8646.5,9074.26,8005.0,8269.54,70339.916745,617119
2019-05-29T00:00:00.0000000Z,2019-05-30T00:00:00.0000000Z,2019-05-29T00:00:00.5820000Z,2019-05-29T23:59:59.9090000Z,8716.87,8750.0,8406.6,8645.68,34685.852522,366074
2019-05-28T00:00:00.0000000Z,2019-05-29T00:00:00.0000000Z,2019-05-28T00:00:00.4330000Z,2019-05-28T23:59:59.4150000Z,8752.52,8798.49,8510.63,8715.64,31425.822385,348884
