Date,o
2017-02-01,"{'deposit': 7.45545219852266, 'inhouse': 7.59307574137577, 'inter': 0.651875542594271, 'total': 25.1192242585227, 'withdrawal': 9.41882077602996}"
2017-02-02,"{'deposit': 6.0990216910732, 'inhouse': 7.29242243914086, 'inter': 1.22308306699482, 'total': 36.4198559810732, 'withdrawal': 21.8053287838643}"
2017-02-03,"{'deposit': 7.32529751654614, 'inhouse': 4.38278020743474, 'inter': 0.7669807855809071, 'total': 22.6424735865461, 'withdrawal': 10.1674150769844}"
2017-02-04,"{'deposit': 5.89934285226762, 'inhouse': 4.63906605881696, 'inter': 0.748564503622095, 'total': 22.645759202267598, 'withdrawal': 11.3587857875609}"
2017-02-05,"{'deposit': 5.54036445374309, 'inhouse': 5.66283672112233, 'inter': 0.648781650293194, 'total': 22.9520947737431, 'withdrawal': 11.1001119485845}"
2017-02-06,"{'deposit': 6.13553736259025, 'inhouse': 4.42251683063289, 'inter': 0.856943962552671, 'total': 21.5181292625902, 'withdrawal': 10.1031311068144}"
2017-02-07,"{'deposit': 7.74462738003968, 'inhouse': 5.629967252082, 'inter': 0.577734980036201, 'total': 23.0678694600397, 'withdrawal': 9.1155398478818}"
2017-02-08,"{'deposit': 7.3540583408043, 'inhouse': 6.5748301304637895, 'inter': 0.525234056529847, 'total': 22.2453219208043, 'withdrawal': 7.79119939300637}"
2017-02-09,"{'deposit': 8.43873324308414, 'inhouse': 6.49386029761484, 'inter': 0.6734714602455321, 'total': 23.5783690630841, 'withdrawal': 7.97230406213963}"
2017-02-10,"{'deposit': 6.45639849718137, 'inhouse': 4.65035041552459, 'inter': 0.5073335449878691, 'total': 18.9225920071814, 'withdrawal': 7.30850954948754}"
2017-02-11,"{'deposit': 5.05799332212334, 'inhouse': 3.54772572951688, 'inter': 0.45426565981159905, 'total': 15.5833446621233, 'withdrawal': 6.52335995067152}"
2017-02-12,"{'deposit': 4.44805058092651, 'inhouse': 3.28658999877349, 'inter': 0.343059994474658, 'total': 13.7297098809265, 'withdrawal': 5.65200930675185}"
2017-02-13,"{'deposit': 5.39584063428719, 'inhouse': 5.90655931937729, 'inter': 0.6846278089386181, 'total': 21.5525647342872, 'withdrawal': 9.56553697168409}"
2017-02-14,"{'deposit': 6.17495525003549, 'inhouse': 5.97273035782417, 'inter': 0.358634099703293, 'total': 18.7357398000355, 'withdrawal': 6.22942009247254}"
2017-02-15,"{'deposit': 5.31846367692661, 'inhouse': 5.86300118129857, 'inter': 0.344861739012056, 'total': 18.4088514269266, 'withdrawal': 6.88252482968938}"
